GameResult,PlayerHand,DealerHand,Money,Doubled,Split,CardsRemaining
Blackjack,[Spades Eight] [Hearts Two] [Spades Five] [Clubs Six],[Spades King] [Clubs Four] [Clubs Queen],0.0,False,True,70
Lose,[Spades Five] [Spades Ace] [Spades Ten] [Hearts Three],[Clubs King] [Spades Three] [Diamonds Three] [Spades Five],-15.0,False,False,62
Win,[Spades King] [Spades Jack],[Spades Seven] [Diamonds Nine] [Clubs Ten],0.0,False,False,57
Blackjack,[Spades Ten] [Spades Ace],[Clubs Ace] [Diamonds Ace] [Diamonds Seven],22.5,False,False,52
Win,[Clubs Queen] [Spades Eight],[Hearts Jack] [Spades Six] [Diamonds Seven],37.5,False,False,47
Lose,[Spades Eight] [Hearts Seven],[Diamonds Two] [Diamonds Queen] [Spades Five],7.5,True,True,39
Blackjack,[Clubs Eight] [Spades Three] [Diamonds Queen],[Diamonds Two] [Diamonds Queen] [Spades Five],52.5,True,True,39
Lose,[Hearts Four] [Diamonds Four] [Spades Two],[Hearts Jack] [Clubs Seven],37.5,False,False,34
Win,[Hearts King] [Clubs Ten],[Spades Two] [Clubs Ten] [Spades Six],52.5,False,False,29
Blackjack,[Spades Jack] [Clubs Ace],[Hearts Ten] [Diamonds Three] [Diamonds Two] [Diamonds Four],75.0,False,False,23
Win,[Hearts Queen] [Hearts Five] [Spades Four],[Hearts Queen] [Hearts Four] [Spades Queen],90.0,False,False,17
Win,[Hearts Seven] [Spades Three] [Diamonds Ten],[Clubs Two] [Spades Two] [Hearts Nine] [Diamonds Jack],120.0,True,False,10
Lose,[Hearts Five] [Hearts Queen],[Clubs Six] [Hearts Six] [Diamonds Eight],105.0,False,False,307
Push,[Diamonds Five] [Hearts Four] [Hearts Eight],[Hearts Nine] [Diamonds Four] [Clubs Four],105.0,False,False,301
Push,[Clubs Queen] [Spades Seven],[Spades Nine] [Diamonds Seven] [Spades Ace],105.0,False,False,296
Lose,[Diamonds King] [Diamonds Two] [Diamonds Ace] [Diamonds Nine],[Diamonds Ten] [Clubs Three] [Diamonds Ace] [Diamonds Nine],90.0,False,False,288
Lose,[Hearts Three] [Clubs Four] [Clubs Seven],[Hearts Three] [Hearts Nine] [Diamonds Eight],75.0,False,False,282
Win,[Diamonds Queen] [Clubs Queen],[Diamonds Three] [Clubs King] [Clubs Ten],90.0,False,False,277
Lose,[Diamonds Five] [Diamonds Two] [Hearts Five] [Spades King],[Clubs Seven] [Spades Three] [Spades Nine],75.0,False,False,270
Lose,[Spades Four] [Clubs Two] [Spades Four],[Spades Ace] [Hearts Six],60.0,False,False,265
Push,[Hearts King] [Hearts King],[Clubs Four] [Spades Seven] [Hearts Two] [Diamonds Two] [Spades Five],60.0,False,False,258
Lose,[Hearts Four] [Clubs Eight] [Diamonds Eight],[Spades Ten] [Diamonds Three] [Spades Eight],45.0,False,False,252
Lose,[Spades Ten] [Hearts Four] [Diamonds Nine],[Clubs Seven] [Hearts Ten],30.0,False,False,247
Push,[Hearts King] [Spades Seven],[Hearts Eight] [Spades Eight] [Clubs Ace],30.0,False,False,242
Lose,[Hearts Seven] [Diamonds Five] [Diamonds Eight],[Clubs Seven] [Spades Three] [Clubs Ace],15.0,False,False,236
Lose,[Clubs Ten] [Diamonds Six] [Clubs Ten],[Hearts Ace] [Hearts Six],0.0,False,False,231
Win,[Clubs Six] [Hearts Two] [Diamonds Ten],[Spades Three] [Diamonds King] [Spades Jack],15.0,False,False,225
Win,[Diamonds Queen] [Spades Ten],[Clubs Eight] [Clubs Nine],30.0,False,False,221
Win,[Hearts Queen] [Hearts Queen],[Spades Five] [Hearts Five] [Clubs Two] [Diamonds Seven],45.0,False,False,215
Win,[Diamonds Ten] [Diamonds Queen],[Diamonds Seven] [Hearts Ten],60.0,False,False,211
Lose,[Spades Eight] [Diamonds Ace] [Clubs Four],[Spades Six] [Spades Eight] [Clubs Five],30.0,True,False,205
Win,[Spades Six] [Clubs Four] [Hearts Jack],[Hearts Four] [Diamonds Jack] [Spades Five],60.0,True,False,199
Lose,[Clubs Eight] [Spades Nine],[Diamonds Six] [Clubs Jack] [Spades Two],45.0,False,False,194
Win,[Clubs Jack] [Hearts Eight],[Diamonds Four] [Spades Jack] [Clubs King],60.0,False,False,189
Win,[Hearts Eight] [Spades Jack],[Hearts Five] [Clubs Seven] [Hearts Queen],75.0,False,False,184
Blackjack,[Spades Two] [Spades Queen] [Diamonds Nine],[Spades Nine] [Hearts Two] [Diamonds Six],97.5,False,False,178
Win,[Spades Queen] [Diamonds Nine],[Hearts Two] [Diamonds Queen] [Spades Four] [Clubs Seven],112.5,False,False,172
Blackjack,[Hearts Four] [Hearts Seven] [Clubs King],[Hearts Jack] [Hearts Five] [Spades Five],157.5,True,False,166
Blackjack,[Spades Ten] [Diamonds Ace],[Clubs King] [Clubs Nine],180.0,False,False,162
Lose,[Diamonds Seven] [Clubs Eight] [Hearts Jack],[Hearts King] [Clubs Six] [Diamonds Four],165.0,False,False,156
Lose,[Spades Ten] [Hearts Nine],[Hearts King] [Spades Two] [Clubs Two] [Spades Seven],150.0,False,False,150
Push,[Spades King] [Hearts Three] [Diamonds Four],[Hearts Seven] [Clubs Jack],150.0,False,False,145
Win,[Diamonds Eight] [Hearts Ace] [Diamonds Ace],[Clubs Six] [Clubs Five] [Clubs Six],180.0,True,False,139
Push,[Spades King] [Hearts Ten],[Spades Queen] [Spades Queen],180.0,False,False,135
Win,[Diamonds Five] [Hearts Seven],[Clubs Five] [Hearts Ten] [Diamonds Ten],195.0,False,False,130
Lose,[Hearts Jack] [Hearts Six] [Clubs Two],[Hearts Jack] [Hearts Ten],180.0,False,False,125
Win,[Clubs Nine] [Clubs Four] [Diamonds Six],[Diamonds Seven] [Diamonds King],195.0,False,False,120
Win,[Spades Six] [Clubs Ten],[Hearts Six] [Hearts Ten] [Spades Jack],210.0,False,False,115
Blackjack,[Spades Two] [Clubs Ace] [Clubs Eight],[Diamonds Three] [Diamonds Five] [Spades Jack],232.5,False,False,109
Lose,[Hearts Ace] [Diamonds Three] [Diamonds King],[Hearts Five] [Spades Eight] [Clubs Ace] [Clubs Three],202.5,True,False,102
Push,[Diamonds Queen] [Spades Queen],[Clubs Queen] [Diamonds Jack],202.5,False,False,98
Blackjack,[Diamonds Jack] [Spades Ace],[Spades Nine] [Diamonds Three] [Spades King],225.0,False,False,93
Lose,[Spades Two] [Hearts Nine] [Spades Three],[Diamonds Three] [Spades Five] [Spades Six] [Hearts Three],195.0,True,False,86
Lose,[Spades Four] [Diamonds King] [Diamonds Nine],[Hearts Seven] [Diamonds Ace],180.0,False,False,81
Win,[Clubs Nine] [Hearts Ace],[Hearts Two] [Hearts Jack] [Spades Ace] [Spades King],195.0,False,False,75
Blackjack,[Clubs Ace] [Hearts Queen],[Clubs Five] [Diamonds Ten] [Hearts Ace] [Spades Two],217.5,False,False,69
Lose,[Spades Four] [Hearts Eight],[Diamonds Six] [Clubs Five] [Hearts Nine],202.5,False,False,64
Lose,[Spades Five] [Diamonds Ten] [Clubs King],[Clubs Ten] [Clubs Queen],187.5,False,False,59
Lose,[Hearts Nine] [Hearts Three] [Diamonds Two] [Spades Ace] [Spades King],[Clubs Nine] [Diamonds Seven] [Spades Four],172.5,False,False,51
Lose,[Hearts Seven] [Clubs King],[Diamonds Five] [Clubs Queen] [Hearts Ace] [Diamonds Four],157.5,False,False,45
Lose,[Spades Six] [Clubs Eight] [Clubs Queen],[Clubs Ace] [Clubs Ten],142.5,False,False,40
Lose,[Clubs Jack] [Spades Three] [Clubs Two] [Diamonds Jack],[Diamonds King] [Hearts Two] [Clubs Two] [Spades Seven],127.5,False,False,32
Lose,[Hearts King] [Clubs Five],[Spades Six] [Spades Ten] [Clubs Three],112.5,False,False,27
Lose,[Clubs Three] [Diamonds Two] [Diamonds Eight] [Clubs Six],[Diamonds Jack] [Clubs Jack],97.5,False,False,21
Blackjack,[Diamonds Two] [Hearts Eight] [Clubs Three] [Spades Eight],[Spades Queen] [Diamonds Queen],120.0,False,False,15
Lose,[Spades Jack] [Diamonds Three],[Diamonds Two] [Clubs Seven] [Clubs Five] [Spades Three],105.0,False,False,306
Lose,[Clubs Two] [Diamonds Four] [Diamonds Three],[Clubs Nine] [Hearts Eight],90.0,False,False,301
Win,[Diamonds Nine] [Clubs Jack],[Diamonds Eight] [Spades Nine],105.0,False,False,297
Lose,[Hearts Three] [Hearts Seven] [Spades Four],[Hearts Three] [Clubs Ten] [Diamonds Five],75.0,True,False,291
Win,[Diamonds Eight] [Hearts King],[Spades Eight] [Spades Eight] [Spades King],90.0,False,False,286
Win,[Spades Nine] [Diamonds Six] [Spades Four],[Diamonds King] [Clubs Two] [Diamonds Ace] [Clubs Jack],105.0,False,False,279
Lose,[Spades Five] [Hearts Nine],[Spades Five] [Diamonds Ace] [Spades Six] [Clubs Seven],90.0,False,False,273
Blackjack,[Spades Five] [Clubs Jack] [Hearts Six],[Spades Jack] [Spades King],112.5,False,False,268
Lose,[Clubs Eight] [Clubs Nine],[Hearts Three] [Clubs Nine] [Clubs Four] [Hearts Four],97.5,False,False,262
Win,[Hearts Nine] [Clubs King],[Spades Seven] [Spades Queen],112.5,False,False,258
Push,[Hearts Eight] [Diamonds King],[Clubs Three] [Hearts Jack] [Diamonds Five],112.5,False,False,253
Win,[Hearts Five] [Spades Ace] [Diamonds Four],[Hearts Five] [Spades Queen] [Diamonds Jack],142.5,True,False,247
Lose,[Diamonds Queen] [Diamonds Six] [Clubs Six],[Hearts Ace] [Spades King],127.5,False,False,242
Lose,[Diamonds Two] [Diamonds Five] [Diamonds Four],[Spades Two] [Clubs Eight] [Spades Ace],112.5,False,False,236
Blackjack,[Diamonds Nine] [Hearts Two] [Clubs Queen],[Clubs Three] [Hearts Two] [Hearts Five] [Spades Two] [Clubs Six],157.5,True,False,228
Lose,[Clubs Nine] [Spades Ten],[Diamonds Ace] [Diamonds King],142.5,False,False,224
Blackjack,[Diamonds Ten] [Clubs Ace],[Hearts Five] [Spades Seven] [Hearts Seven],165.0,False,False,219
Lose,[Diamonds Jack] [Clubs Eight],[Diamonds Seven] [Hearts Two] [Spades Ace],150.0,False,False,214
Win,[Diamonds Ace] [Diamonds Two] [Hearts Queen] [Spades Two] [Hearts Three],[Diamonds Queen] [Spades Three] [Diamonds Nine],165.0,False,False,206
Lose,[Clubs Jack] [Hearts Ten],[Clubs Four] [Clubs Four] [Hearts Three] [Clubs Queen],150.0,False,False,200
Win,[Hearts Ten] [Hearts Jack],[Spades Jack] [Spades Three] [Spades Four],165.0,False,False,195
Blackjack,[Clubs Ace] [Diamonds Ten],[Hearts Eight] [Clubs Four] [Diamonds King],187.5,False,False,190
Push,[Clubs Jack] [Clubs Queen],[Clubs Queen] [Hearts Ten],187.5,False,False,186
Lose,[Clubs Five] [Hearts Nine],[Diamonds Two] [Hearts Eight] [Clubs Ten],172.5,False,False,181
Push,[Spades Eight] [Spades Queen],[Diamonds Seven] [Clubs Three] [Clubs Six] [Clubs Two],172.5,False,False,175
Lose,[Diamonds Three] [Diamonds Two] [Spades King] [Hearts Queen],[Spades King] [Spades Two] [Diamonds Eight],157.5,False,False,168
Push,[Hearts Ace] [Diamonds Eight],[Spades Nine] [Hearts King],157.5,False,False,164
Blackjack,[Hearts Ace] [Clubs King],[Hearts Four] [Hearts Ace] [Hearts King] [Clubs Ten],180.0,False,False,158
Blackjack,[Spades Six] [Spades Five] [Hearts Queen],[Hearts Jack] [Clubs Nine],225.0,True,False,153
Win,[Hearts Six] [Hearts Nine] [Spades Four],[Spades Ace] [Diamonds Six],240.0,False,False,148
Lose,[Spades Queen] [Spades Six],[Spades Six] [Diamonds Ace],225.0,False,False,144
Lose,[Clubs Two] [Spades Ten] [Spades Jack],[Diamonds Queen] [Hearts Five] [Clubs Ten],210.0,False,False,138
Lose,[Diamonds Seven] [Hearts Nine] [Spades Eight],[Spades Queen] [Spades Eight],195.0,False,False,133
Lose,[Diamonds Eight] [Hearts King],[Diamonds Ace] [Diamonds Ten],180.0,False,False,129
Lose,[Hearts Six] [Hearts Seven] [Diamonds Three] [Spades Nine],[Spades Ace] [Hearts Four] [Spades Ten] [Clubs Six],165.0,False,False,121
Lose,[Diamonds Five] [Clubs King] [Hearts Queen],[Hearts Ace] [Hearts Ten],150.0,False,False,116
Lose,[Diamonds Four] [Diamonds Six] [Clubs Five],[Hearts Four] [Spades Jack] [Hearts Two] [Hearts Five],120.0,True,False,109
Win,[Diamonds Four] [Clubs Seven] [Diamonds Three],[Diamonds Two] [Clubs Seven] [Spades Three] [Diamonds Queen],150.0,True,False,102
Lose,[Diamonds Nine] [Spades Seven] [Clubs Six],[Diamonds Seven] [Clubs Five] [Clubs Four] [Diamonds Jack],135.0,False,False,95
Blackjack,[Clubs Ace] [Clubs King],[Hearts Six] [Diamonds Nine] [Clubs Eight],157.5,False,False,90
Blackjack,[Diamonds Five] [Spades Jack] [Diamonds Six],[Diamonds Nine] [Hearts Seven] [Diamonds Queen],180.0,False,False,84
Lose,[Spades Five] [Spades Five] [Hearts Four] [Spades Ace] [Clubs Ace] [Spades Nine],[Clubs Ace] [Hearts Six],165.0,False,False,76
Win,[Hearts Ten] [Hearts Queen],[Hearts King] [Hearts Two] [Clubs Three] [Diamonds Jack],180.0,False,False,70
Win,[Hearts Nine] [Hearts Jack],[Spades Three] [Spades Queen] [Clubs Three] [Hearts Ten],195.0,False,False,64
Blackjack,[Hearts Ace] [Clubs King],[Clubs Nine] [Hearts Seven] [Clubs Five],217.5,False,False,59
Blackjack,[Diamonds Ten] [Clubs Ace],[Diamonds Eight] [Diamonds King],240.0,False,False,55
Lose,[Spades Seven] [Diamonds King],[Spades Six] [Clubs Jack] [Clubs Three],225.0,False,False,50
Lose,[Diamonds Four] [Clubs King] [Clubs Two] [Spades Ten],[Spades King] [Clubs Two] [Diamonds Ten],210.0,False,False,43
Lose,[Clubs Queen] [Spades Four] [Hearts Four],[Hearts King] [Diamonds Jack],195.0,False,False,38
Lose,[Hearts Three] [Clubs Ten] [Spades Six],[Spades Nine] [Spades Seven] [Diamonds Five],180.0,False,False,32
Lose,[Spades Three] [Clubs Seven] [Diamonds Seven],[Hearts Eight] [Clubs Ten],150.0,True,False,27
Win,[Spades Two] [Clubs Six] [Clubs Five] [Spades Seven],[Hearts Queen] [Diamonds Seven],165.0,False,False,21
Lose,[Diamonds Jack] [Spades Two],[Diamonds Six] [Diamonds Ten] [Spades Four],150.0,False,False,16
Lose,[Hearts Jack] [Diamonds Three] [Hearts Jack],[Spades Ten] [Clubs Eight],135.0,False,False,11
Lose,[Diamonds Six] [Diamonds Two] [Diamonds Three],[Diamonds King] [Clubs Eight],120.0,False,False,307
Win,[Clubs Eight] [Spades Seven],[Hearts Four] [Hearts Jack] [Diamonds Queen],135.0,False,False,302
Blackjack,[Clubs Ten] [Hearts Ace],[Clubs Seven] [Spades Three] [Spades Seven],157.5,False,False,297
Push,[Hearts King] [Diamonds Ten],[Clubs Five] [Hearts Seven] [Spades Eight],157.5,False,False,292
Lose,[Diamonds Three] [Diamonds Two] [Clubs Seven],[Hearts Five] [Diamonds Jack] [Clubs Three],127.5,True,True,283
Lose,[Diamonds Three] [Clubs Six] [Hearts Three],[Hearts Five] [Diamonds Jack] [Clubs Three],97.5,True,True,283
Lose,[Spades Four] [Clubs Ten] [Spades Nine],[Hearts Nine] [Spades King],82.5,False,False,278
Win,[Spades Eight] [Diamonds Two] [Spades Ten],[Diamonds Seven] [Spades Ten],112.5,True,False,273
Lose,[Spades Jack] [Hearts Seven],[Hearts Two] [Diamonds Ace] [Spades Six],97.5,False,False,268
Win,[Spades Ten] [Hearts Ten],[Spades Nine] [Spades Three] [Clubs Queen],112.5,False,False,263
Lose,[Hearts Nine] [Clubs Eight],[Diamonds Eight] [Clubs Seven] [Diamonds Six],97.5,False,False,258
Lose,[Diamonds Jack] [Hearts Five],[Diamonds Five] [Clubs Six] [Hearts Nine],82.5,False,False,253
Win,[Spades Five] [Clubs Three] [Hearts Two],[Hearts Five] [Hearts Queen] [Hearts Queen],97.5,False,False,247
Win,[Clubs Four] [Spades Queen] [Clubs Five],[Clubs Jack] [Spades Three] [Clubs Three] [Hearts Eight],112.5,False,False,240
Win,[Spades Ace] [Hearts Three] [Spades Five],[Hearts Two] [Spades Queen] [Hearts Ten],127.5,False,False,234
Win,[Hearts Six] [Clubs Two] [Spades Two],[Clubs King] [Clubs Four] [Spades Jack],142.5,False,False,228
Blackjack,[Hearts Six] [Diamonds Ten] [Diamonds Five],[Diamonds Seven] [Hearts Three] [Clubs Four] [Hearts Four],165.0,False,False,221
Blackjack,[Diamonds Eight] [Clubs Three] [Spades Ten],[Clubs Queen] [Diamonds Jack],210.0,True,False,216
Lose,[Diamonds King] [Diamonds Six] [Clubs Queen],[Diamonds Seven] [Hearts Queen],195.0,False,False,211
Lose,[Clubs King] [Clubs Nine],[Hearts Jack] [Diamonds Ace],180.0,False,False,207
Blackjack,[Clubs Five] [Diamonds Five] [Clubs Ace],[Spades Queen] [Hearts King],202.5,False,False,202
Lose,[Hearts Eight] [Hearts Queen],[Hearts Ace] [Diamonds Four] [Hearts King] [Clubs Four],187.5,False,False,196
Win,[Hearts Two] [Hearts Eight] [Spades Two],[Diamonds Three] [Spades Nine] [Spades King],217.5,True,False,190
Blackjack,[Clubs Eight] [Hearts Six] [Diamonds Seven],[Spades Nine] [Clubs Five] [Clubs Ten],240.0,False,False,184
Lose,[Clubs Five] [Hearts Seven] [Spades Jack],[Spades Ace] [Spades Nine],225.0,False,False,179
Push,[Spades King] [Hearts Four] [Clubs Four],[Spades Seven] [Hearts Ace],225.0,False,False,174
Lose,[Spades Seven] [Hearts Nine] [Diamonds Queen],[Diamonds Eight] [Diamonds Five] [Hearts Two] [Hearts Seven],210.0,False,False,167
Lose,[Clubs Three] [Diamonds Ten],[Hearts Five] [Diamonds Two] [Spades Six] [Hearts Four],195.0,False,False,161
Lose,[Clubs Two] [Hearts Ten] [Clubs Ten],[Hearts King] [Spades Queen],180.0,False,False,156
Win,[Clubs Nine] [Spades King],[Diamonds Seven] [Hearts Queen],195.0,False,False,152
Lose,[Clubs Three] [Diamonds Nine],[Diamonds Four] [Diamonds Jack] [Clubs Five],180.0,False,False,147
Lose,[Clubs Nine] [Diamonds Five] [Clubs Ten],[Hearts King] [Clubs Four] [Clubs Ace] [Diamonds Queen],165.0,False,False,140
Lose,[Spades Six] [Spades Eight],[Hearts Five] [Hearts Three] [Clubs Jack],150.0,False,False,135
Blackjack,[Spades Five] [Spades Six] [Diamonds Jack],[Spades Eight] [Spades King],195.0,True,False,130
Lose,[Diamonds Six] [Hearts Jack],[Clubs Two] [Hearts Three] [Spades Five] [Spades Nine],180.0,False,False,124
Lose,[Diamonds Six] [Clubs Jack],[Spades Three] [Diamonds Nine] [Clubs Ace] [Clubs Seven],165.0,False,False,118
Push,[Spades Four] [Hearts Three] [Clubs King],[Hearts Eight] [Clubs Nine],165.0,False,False,113
Lose,[Hearts Jack] [Diamonds Four] [Diamonds Nine],[Diamonds Eight] [Clubs Ten],150.0,False,False,108
Win,[Diamonds Nine] [Hearts Six],[Spades Two] [Diamonds King] [Diamonds Ace] [Diamonds Nine],165.0,False,False,102
Lose,[Hearts Seven] [Clubs Ace] [Spades Seven] [Diamonds Three],[Clubs Nine] [Hearts Ten],150.0,False,False,96
Win,[Clubs Eight] [Hearts Four],[Hearts Five] [Hearts Nine] [Clubs Two] [Spades Seven],165.0,False,False,90
Blackjack,[Spades Two] [Diamonds Ten] [Clubs Nine],[Hearts Eight] [Clubs Queen],187.5,False,False,85
Lose,[Spades Three] [Diamonds King],[Diamonds Six] [Diamonds Two] [Hearts Ace],172.5,False,False,80
Lose,[Clubs Seven] [Spades Eight] [Hearts Queen],[Diamonds Ten] [Spades Queen],157.5,False,False,75
Lose,[Diamonds Ten] [Diamonds Eight],[Spades Ten] [Hearts Six] [Spades Three],142.5,False,False,70
Lose,[Hearts Ten] [Clubs Six] [Clubs Eight],[Hearts Jack] [Diamonds Eight],127.5,False,False,65
Blackjack,[Diamonds Ace] [Hearts Ten],[Hearts Ace] [Clubs Six],150.0,False,False,61
Win,[Spades Five] [Hearts Two] [Spades Four],[Clubs Queen] [Hearts Four] [Hearts King],165.0,False,False,55
Push,[Hearts Seven] [Clubs Queen],[Spades Four] [Clubs Two] [Spades Ace],165.0,False,False,50
Win,[Clubs King] [Diamonds Four] [Spades Six],[Hearts Ace] [Spades Two] [Diamonds Nine] [Clubs Six],180.0,False,False,43
Lose,[Spades Four] [Spades Eight],[Spades Six] [Spades Two] [Spades Ace],165.0,False,False,38
Blackjack,[Spades Ten] [Spades Ace],[Clubs King] [Hearts Jack],187.5,False,False,34
Lose,[Hearts Nine] [Diamonds Three] [Diamonds Four] [Clubs King],[Clubs Seven] [Diamonds Four] [Spades Jack],172.5,False,False,27
Lose,[Clubs Six] [Hearts Eight] [Spades Jack],[Diamonds Queen] [Diamonds Two] [Spades Four] [Diamonds King],157.5,False,False,20
Blackjack,[Diamonds Queen] [Spades Ace],[Spades Five] [Hearts Six] [Clubs Ace] [Diamonds Ace] [Diamonds King],180.0,False,False,13
Lose,[Spades Five] [Hearts Eight] [Spades King],[Spades Ace] [Diamonds Ace] [Clubs Eight],165.0,False,False,306
Push,[Hearts Four] [Hearts Four] [Diamonds Ten],[Clubs Four] [Diamonds Nine] [Clubs Five],165.0,False,False,300
Lose,[Spades Nine] [Spades Two] [Spades Nine],[Spades Three] [Clubs Six] [Clubs Five] [Diamonds Seven],135.0,True,False,293
Win,[Spades Jack] [Hearts Nine],[Hearts Eight] [Spades Seven] [Hearts Seven],150.0,False,False,288
Lose,[Hearts Two] [Hearts Six] [Hearts Two],[Spades Eight] [Diamonds King],135.0,False,False,283
Lose,[Hearts Ten] [Diamonds Nine],[Clubs Seven] [Clubs Four] [Diamonds Nine],120.0,False,False,278
Win,[Diamonds Five] [Hearts Six] [Diamonds Six],[Hearts Four] [Diamonds Three] [Spades Four] [Diamonds Four] [Hearts Queen],150.0,True,False,270
Lose,[Diamonds Nine] [Spades Six],[Spades Six] [Hearts Ten] [Diamonds Five],135.0,False,False,265
Win,[Spades Queen] [Clubs Jack],[Diamonds Two] [Spades Eight] [Hearts Three] [Clubs Five],150.0,False,False,259
Win,[Hearts Six] [Clubs Queen],[Diamonds Six] [Clubs Jack] [Hearts King],165.0,False,False,254
